campaign_id,partition,trial_index,trial_seed,scenario_seed,feedback_seed,physical_seed,algorithm_seed,bootstrap_pairing_seed,exploration_seed,codebook_seed
UAV-AG-V1,evaluation,14,675476565,4233631990,2548400212,368886817,1561993146,2731182761,1448376169815134027,284499147160708826
UAV-AG-V1,evaluation,15,2838087092,1063544325,723830783,2468059469,4198101418,2478816137,10985512959471740948,13523938128849372660
UAV-AG-V1,evaluation,16,1644467141,2570791685,2896753412,2386003214,3312325034,2609467074,2078856901529211053,17616371383692843650
UAV-AG-V1,evaluation,17,3130639502,1064912856,240534921,3987393616,801980538,2913891188,12971098520507418181,1935320609601066975
UAV-AG-V1,evaluation,18,3428279378,1135782881,3844262267,1091926369,2933555227,2970819367,3017815464746478337,12895343041443415716
UAV-AG-V1,evaluation,19,3363248076,711606113,30258672,4206375432,883278480,1475860551,18110202905150184069,16492216791907892226
UAV-AG-V1,evaluation,20,3040224932,2156321147,2214636454,3267552346,2717455742,4154725784,6766378300023309845,11663389514521627466
UAV-AG-V1,evaluation,21,678979011,739854082,793520385,2559431693,2652593182,1292423080,10618254429012606382,6572381572636584597
UAV-AG-V1,evaluation,22,1293994531,870184365,496930904,2306825716,3711479990,1859885090,8642523340881205630,9137728470156428855
UAV-AG-V1,evaluation,23,251126314,1563194374,112878202,167528081,3449726310,3017876478,6569031205200010462,6159685494850014893
UAV-AG-V1,evaluation,24,787334529,443095478,3132189424,2745366216,1302005570,860312429,7584932358146638165,1882731976614089518
UAV-AG-V1,evaluation,25,2015816355,4116910027,2526510588,3947132699,1664826625,2188105698,11848952359255658880,2780266874529705572
UAV-AG-V1,evaluation,26,3467865324,207906197,1001376503,2927141682,1695975313,2508621196,8475949096091958656,14305341714255401049
UAV-AG-V1,evaluation,27,3732841527,2048050950,271464888,1362340272,471817745,3104217011,12211717008563722670,9562175822995707334
UAV-AG-V1,evaluation,28,553048583,2168861555,3405158250,3416973256,1766229081,1538024654,12795088516531172783,12189479415601064273
UAV-AG-V1,evaluation,29,1192811288,3100542785,938211922,2760440426,1940924513,2743309089,8132967960771800555,4828233084823079779
UAV-AG-V1,evaluation,30,1987356757,3300462630,3928127423,3359912908,3991114150,3466769546,6854356728920296467,8148862268334617957
UAV-AG-V1,evaluation,31,3904294254,4139174153,2232327463,2361728471,1588903749,593050603,11961068937601221157,11344868213966705207
UAV-AG-V1,evaluation,32,1439387297,28475474,1220118691,2402274434,3565641893,3745215780,12186952503514996000,7808683829508341987
