cell_id,x_m,y_m,zone_id,priority,agronomic_feature_1,agronomic_feature_2,agronomic_feature_3,agronomic_feature_4,agronomic_feature_5,agronomic_feature_6,agronomic_feature_7,agronomic_feature_8
24,375.0,125.0,4,0.9891536684986537,0.32177815331429954,0.8656389423515384,0.2543155047959094,0.07563402158154793,0.50103386046184,0.0613885386710757,0.07505562096186572,0.24799050313717708
25,25.0,175.0,1,0.7169730025581937,0.06362124993078377,0.35243405087161717,0.09039234810902354,0.0779384968721543,0.0861916968073162,0.4014389392425081,0.20855578231875282,0.5858597276940364
26,75.0,175.0,1,0.622946948734188,0.0906344919528041,0.5739977847445126,0.13955485638213233,0.1286007430531554,0.26368096346027037,0.47514351438239144,0.35900098053445934,0.6384467686589594
27,125.0,175.0,2,0.6678197091525904,0.1222971505786848,0.7956627839011746,0.20436306224934947,0.28229926059734106,0.5531556876823598,0.5644120848312028,0.5067689672136774,0.6298594548456615
28,175.0,175.0,2,0.6498197743892344,0.16419905842122862,0.9407105665440432,0.2558782241014226,0.5916172449797901,0.7429460197715386,0.7558536066642237,0.5500669256965091,0.6011528621166713
29,225.0,175.0,3,0.6443648188970036,0.26770954130738295,0.9752166680625521,0.2637468907339091,0.7421036075575457,0.941638621040227,0.7811921943443096,0.4474005449625086,0.5775822323420479
30,275.0,175.0,3,0.5956557438961096,0.3644666642831113,0.9205340993886698,0.22575108024800306,0.4656828678403246,0.9364884797430949,0.4633275931142219,0.27753236403160236,0.5443686411461559
31,325.0,175.0,4,0.9408501094005166,0.3018804693494141,0.8054518365686755,0.1675739595552466,0.1677881827567566,0.6242615364762694,0.16564775260569709,0.14488181256251423,0.4722478122350647
32,375.0,175.0,4,0.667557959259562,0.15706311128676337,0.6374552852629921,0.11599072940598791,0.06854807508763658,0.305883623777789,0.06580920026356693,0.07980742093145823,0.3589786183681256
33,25.0,225.0,1,0.9602303018306046,0.05183067227775123,0.3306738014599461,0.055548299281091715,0.10116767413148242,0.061829917631849265,0.09462306699028306,0.19645931555482715,0.9921407215357808
34,75.0,225.0,1,0.8339457229455629,0.05557565098113593,0.5410722053611912,0.06197515934684223,0.22346328525419956,0.1258935003552633,0.14165396142795839,0.37490370946649787,1.0
35,125.0,225.0,2,0.9077788928767863,0.061418430630776594,0.7622668045433355,0.0706381852226025,0.44625079572679777,0.27883648220551377,0.348423428616834,0.5946355867807291,0.8856492053679418
36,175.0,225.0,2,0.8067740718900542,0.07643188150241713,0.9283159453695351,0.07828370485988455,0.6619027029607727,0.5327408758609985,0.7721044500630458,0.7336490321724338,0.7520624258010006
37,225.0,225.0,3,0.8929246205731208,0.11454665273571457,1.0,0.08104058159851439,0.6598779343184243,0.8142797993267803,0.94578855365428,0.6923807799928168,0.6620559796887396
38,275.0,225.0,3,0.7113074271268831,0.14824854194652215,0.971667312776494,0.07773451485086193,0.41958523391014085,0.767651672317854,0.5828183253201996,0.5057893586328185,0.5985198447800076
39,325.0,225.0,4,0.8024040251014143,0.12818033030226864,0.8490092978882628,0.07059228298305938,0.18652553529332921,0.4289709061429263,0.20023412000057983,0.29769287911121256,0.5124851586874338
40,375.0,225.0,4,0.9684340087503658,0.08169285854546217,0.6510353914395581,0.06291658629520683,0.08269085319885626,0.17513486379112547,0.07005382021395506,0.15449439943403637,0.3879571371392463
41,25.0,275.0,1,0.9029428315153001,0.050110155792025594,0.11344525708799486,0.05068588646133753,0.1396848087069418,0.05225298663167587,0.055243914476230185,0.24742165147363854,0.614365721995272
42,75.0,275.0,1,0.6902525711072485,0.05036509010433506,0.1725363543295631,0.0514246437565016,0.35179258354925275,0.0690230819801399,0.10040001403831976,0.4782146806077866,0.611517243235517
43,125.0,275.0,2,0.5836270830017847,0.05109944237314567,0.26128139347488033,0.0524375933397026,0.7127239722778806,0.14223001807813024,0.3303060154004953,0.760959560653298,0.5433872470927351
44,175.0,275.0,2,0.8242653934525466,0.054205457215264,0.3841690451309159,0.05343053249307095,1.0,0.33575656607166715,0.8002525080323333,0.9511347574183329,0.47901797754303815
45,225.0,275.0,3,0.7487533874454618,0.06213116228171735,0.5302241538006652,0.0539807148829774,0.9376414520853225,0.554033100542223,1.0,0.9221153627255788,0.4524143758465737
46,275.0,275.0,3,0.8816082374546836,0.06898697614035332,0.6522499726849575,0.05382785342849174,0.5893113853744641,0.5131947770491188,0.6179483811103909,0.696348367789035,0.43898567338038236
47,325.0,275.0,4,0.9985693586244709,0.06513792768194589,0.6807697108368617,0.05306577540106778,0.2630972495478293,0.27099883114035495,0.21026044935618465,0.4183431164904444,0.3954888515311957
48,375.0,275.0,4,0.6669732025307676,0.05609374845341442,0.5847091549680768,0.05205108686945378,0.10489176517358953,0.10821203888868311,0.07134324111096323,0.21194897299070997,0.3101275457383546
